key_en,key_ru,key_hy
+30 sec. function,Функция +30 сек.,+30 վրկ. գործառույթ
1-4 cups function,Функция для 1-4 чашек,1-4 բաժակի գործառույթ
1/2 load,1/2 загрузки,1/2 բեռնվածություն
1/2 load FlexiZone option,Опция FlexiZone с 1/2 загрузкой,1/2 բեռնված FlexiZone տարբերակ
1st zone booster power,Мощность бустера 1-й зоны,1-ին գոտու բուսթերի հզորություն
1st zone dimensions,Размеры 1-й зоны,1-ին գոտու չափերը
1st zone energy consumption,Энергопотребление 1-й зоны,1-ին գոտու էներգիայի սպառում
1st zone position,Положение 1-й зоны,1-ին գոտու դիրքը
1st zone power,Мощность 1-й зоны,1-ին գոտու հզորность
1st zone type,Тип 1-й зоны,1-ին գոտու տեսակը
20mm deep tray,Глубокий противень 20 мм,20 մմ խորությամբ սկուտեղ
24h air filter function,Функция воздушного фильтра 24 ч,24ժ օդի ֆիլտրի գործառույթ
2nd zone booster power,Мощность бустера 2-й зоны,2-րդ գոտու բուսթերի հզորություն
2nd zone dimensions,Размеры 2-й зоны,2-րդ գոտու չափերը
2nd zone energy consumption,Энергопотребление 2-й зоны,2-րդ գոտու էներգիայի սպառում
2nd zone position,Положение 2-й зоны,2-րդ գոտու դիրքը
2nd zone power,Мощность 2-й зоны,2-րդ գոտու հզորность
2nd zone type,Тип 2-й зоны,2-րդ գոտու տեսակը
360° swivel base,Поворотное основание 360°,360° պտտվող հիմք
3rd zone booster power,Мощность бустера 3-й зоны,3-րդ գոտու բուսթերի հզորություն
3rd zone dimensions,Размеры 3-й зоны,3-րդ գոտու չափերը
3rd zone position,Положение 3-й зоны,3-րդ գոտու դիրքը
3rd zone power,Мощность 3-й зоны,3-րդ գոտու հզորность
3rd zone type,Тип 3-й зоны,3-րդ գոտու տեսակը
4 Star compartment - Star rating,4-звёздочное отделение - Класс звёздности,4 աստղանի խցիկ - Աստղային դաս
4 star - Freezing capacity,4 звезды - Мощность заморозки,4 աստղ - Սառեցման հզորություն
40mm deep tray,Глубокий противень 40 мм,40 մմ խորությամբ սկուտեղ
4th zone booster power,Мощность бустера 4-й зоны,4-րդ գոտու բուսթերի հզորություն
4th zone dimensions,Размеры 4-й зоны,4-րդ գոտու չափերը
4th zone position,Положение 4-й зоны,4-րդ գոտու դիրքը
4th zone power,Мощность 4-й зоны,4-րդ գոտու հզորность
4th zone tipe,Тип 4-й зоны,4-րդ գոտու տեսակը
4th zone type,Тип 4-й зоны,4-րդ գոտու տեսակը
5th zone booster power,Мощность бустера 5-й зоны,5-րդ գոտու բուսթերի հզորություն
5th zone dimensions,Размеры 5-й зоны,5-րդ գոտու չափերը
5th zone position,Положение 5-й зоны,5-րդ գոտու դիրքը
5th zone power,Мощность 5-й зоны,5-րդ գոտու հզորность
5th zone type,Тип 5-й зоны,5-րդ գոտու տեսակը
6th zone booster power,Мощность бустера 6-й зоны,6-րդ գոտու բուսթերի հզորություն
6th zone dimensions,Размеры 6-й зоны,6-րդ գոտու չափերը
6th zone position,Положение 6-й зоны,6-րդ գոտու դիրքը
6th zone power,Мощность 6-й зоны,6-րդ գոտու հզորность
6th zone type,Тип 6-й зоны,6-րդ գոտու տեսակը
7th zone position,Положение 7-й зоны,7-րդ գոտու դիրքը
7th zone power,Мощность 7-й зоны,7-րդ գոտու հզորность
7th zone type,Тип 7-й зоны,7-րդ գոտու տեսակը
8th zone position,Положение 8-й зоны,8-րդ գոտու դիրքը
8th zone power,Мощность 8-й зоны,8-րդ գոտու հզորность
8th zone type,Тип 8-й зоны,8-րդ գոտու տեսակը
AU CYBR ACT support period end date,Дата окончания периода поддержки AU CYBR ACT,AU CYBR ACT աջակցության ժամկետի ավարտի ամսաթիվ
Accessories,Аксессуары,Աքսեսուարներ
Accessories fixing,Крепление аксессуаров,Աքսեսուարների ամրացում
Accessories for installation,Аксессуары для установки,Տեղադրման աքսեսուարներ
Accessory bag,Сумка для аксессуаров,Աքսեսուարների պայուսակ
Accessory bag material,Материал сумки для аксессуаров,Աքսեսուարների պայուսակի նյութ
Accessory ejection type,Тип извлечения аксессуара,Աքսեսուարի հանման տեսակը
Accessory port for optionals,Порт для дополнительных аксессуаров,Ընտրովի աքսեսուարների նավահանգիստ
Acoustic airborne noise emission class,Класс акустической шумности,Ակուստիկ օդային աղմուկի արտանետման դաս
Acoustic alarm,Акустическая сигнализация,Ձայնային ազդանշան
Acoustic signal off option,Опция отключения звукового сигнала,Ձայնային ազդանշանի անջատման տարբերակ
Action,Действие,Գործողություն
Activate functions,Активация функций,Գործառույթների ակտիվացում
Activation/UNIT button,Кнопка включения/ЕДИНИЦА,Միացում/ՄԻԱՎՈՐ կոճակ
Activation/UNIT/TARE lever,Рычаг включения/ЕДИНИЦА/ТАРА,Միացում/ՄԻԱՎՈՐ/ՏԱՐԱ լծակ
Additional connection modalities,Дополнительные способы подключения,Լրացուցիչ միացման եղանակներ
Adjustable Coffee Intensity,Регулируемая интенсивность кофе,Կարգավորվող սուրճի ուժգնություն
Adjustable Coffee Temperature,Регулируемая температура кофе,Կարգավորվող սուրճի ջերմաստիճան
Adjustable coffee length,Регулируемый объём кофе,Կարգավորվող սուրճի ծավալ
Adjustable door shelves with wire support,Регулируемые полки на дверце с проволочной опорой,Կարգավորվող դռների դարակներ մետաղալարային հենարանով
Adjustable feet,Регулируемые ножки,Կարգավորվող ոտքեր
Adjustable shelves,Регулируемые полки,Կարգավորվող դարակներ
Adjustable temperature zones,Регулируемые температурные зоны,Կարգավորվող ջերմաստիճանային գոտիներ
Adjustable water hardness,Регулируемая жёсткость воды,Կարգավորվող ջրի կարծրություն
Aerator,Аэратор,Աերատոր
Aesthetic,Эстетика,Էսթետիկա
Air Fry function,Функция Air Fry,Air Fry գործառույթ
Air filter,Воздушный фильтр,Օդի ֆիլտր
Air flow at boost speed (Qboost),Расход воздуха на ускоренной скорости (Qboost),Օդի հոսքը արագացված արագությամբ (Qboost)
Air flow at maximum speed (Qmax),Расход воздуха на максимальной скорости (Qmax),Օդի հոսքը առավելագույն արագությամբ (Qmax)
Air flow at minumum speed (Qmin),Расход воздуха на минимальной скорости (Qmin),Օդի հոսքը նվազագույն արագությամբ (Qmin)
Air-tight seal,Герметичное уплотнение,Հերմետիկ կնիք
Airborne acoustical A-weighted sound Power Emission at maximum speed (SPEmax),Акустическая эмиссия звуковой мощности на макс. скорости (SPEmax),Օդային ակուստիկ ձայնային հզորության արտանետում առավելագույն արագությամբ (SPEmax)
Airborne acoustical noise emission class,Класс шумности,Օդային ակուստիկ աղմուկի արտանետման դաս
Airborne acoustical noise emission class (spinning phase),Класс шумности (отжим),Օդային ակուստիկ աղմուկի արտանետման դաս (պտտման փուլ)
Airborne acoustical noise emissions,Уровень шума,Օդային ակուստիկ աղմուկի արտանետումներ
Airborne acoustical noise emissions (spinning phase),Уровень шума (отжим),Օդային ակուստիկ աղմուկի արտանետումներ (պտտման փուլ)
Airbourne acouistical A-weighted sound Power Emission at minimum speed (SPEmin),Акустическая эмиссия звуковой мощности на мин. скорости (SPEmin),Օդային ակուստիկ ձայնային հզորության արտանետում նվազագույն արագությամբ (SPEmin)
Airbourne acoustical A-weighted sound power emission at boost speed (SPEboost),Акустическая эмиссия звуковой мощности на ускоренной скорости (SPEboost),Օդային ակուստիկ ձայնային հզորության արտանետում արագացված արագությամբ (SPEboost)
All Frozen Food compartments - Storage volume,Все отделения для замороженных продуктов - Полезный объём,Սառեցված սննդի բոլոր խցիկներ - Պահեստավորման ծավալ
Alternate drum rotation,Реверсивное вращение барабана,Թմբուկի հակադարձ պտույտ
Annual Efficiency Consumption (AEChood),Годовое потребление эффективности (AEChood),Տարեկան արդյունավետության սպառում (AEChood)
Annual energy consumption,Годовое энергопотребление,Տարեկան էներգիայի սպառում
Anti slip handle,Противоскользящая ручка,Հակասայթաքման բռնակ
Anti-UV door glass,Стекло двери с защитой от УФ,Հակա-ՈՒՖ դռան ապակի
Anti-flood system,Система защиты от протечек,Հակաջրհեղեղի համակարգ
Anti-grease filters,Жироулавливающие фильтры,Հակաճարպային ֆիլտրեր
Anti-iron phase,Фаза анти-глажка,Հակա-արդուկման փուլ
Anti-slip feet,Противоскользящие ножки,Հակասայթաքման ոտքեր
Anti-slip feet material,Материал противоскользящих ножек,Հակասայթաքման ոտքերի նյութ
Antibacterial Gasket,Антибактериальный уплотнитель,Հակաբակտերիալ միջադիր
Antibacterial odour filter,Антибактериальный фильтр запахов,Հակաբակտերիալ հոտի ֆիլտր
Antifoam system,Система пеногашения,Հակափրփրային համակարգ
Antislip Base,Противоскользящее основание,Հակասայթաքման հիմք
Antislip base,Противоскользящее основание,Հակասայթաքման հիմք
Antislip feet,Противоскользящие ножки,Հակասայթաքման ոտքեր
Antislip feet material,Материал противоскользящих ножек,Հակասայթաքման ոտքերի նյութ
Aquastop system,Система Aquastop,Հակաջրհեղեղի համակարգ
Auto 50°-60°,Авто 50°-60°,Ավտո 50°-60°
Auto sensor 45-65,Авто-сенсор 45-65,Ավտո սենսոր 45-65
Auto switch off,Автоматическое отключение,Ավտոմատ անջատում
Auto switch-off,Автоматическое отключение,Ավտոմատ անջատում
Auto-Vent,Авто-вентиляция,Ավտո-օդափոխություն
Auto-boiling Function,Функция автозакипания,Ավտո-եռման գործառույթ
Auto-vent 2.0,Авто-вентиляция 2.0,Ավտո-օդափոխություն 2.0
Autocleaning system,Система самоочистки,Ինքնամաքրման համակարգ
Automatic Ignition,Автоматический розжиг,Ավտոմատ բռնկում
Automatic cleaning,Автоматическая очистка,Ավտոմատ մաքրում
Automatic connection between integrated hood and hob,Автоматическое соединение встроенной вытяжки и варочной панели,Ինտեգրված արտածուծիչի և վառարանի ավտոմատ միացում
Automatic electronic ignition,Автоматический электронный розжиг,Ավտոմատ էլեկտրոնային բռնկում
Automatic pan detection,Автоматическое определение посуды,Թավայի ավտոմատ հայտնաբերում
Automatic pop-up,Автоматический всплывающий механизм,Ավտոմատ բացվող մեխանիզմ
Automatic programmes,Автоматические программы,Ավտոմատ ծրագրեր
Automatic setting according to pan dimension,Автоматическая настройка по размеру посуды,Թավայի չափին համապատասխան ավտոմատ կարգավորում
Automatic switch off,Автоматическое отключение,Ավտոմատ անջատում
Automatic switch off when overflow,Автоматическое отключение при переливе,Արտահոսքի դեպքում ավտոմատ անջատում
Automatic switch off when overheat,Автоматическое отключение при перегреве,Գերտաքացման դեպքում ավտոմատ անջատում
Automatic variable load,Автоматическая переменная загрузка,Ավտոմատ փոփոխական բեռնվածություն
Available diameters,Доступные диаметры,Հասանելի տրամագծեր
Average illumination of the light on the cooking surface (Emiddle),Средняя освещённость поверхности приготовления (Emiddle),Միջին լուսավորություն պատրաստման մակերեսին (Emiddle)
BOTTLE,БУТЫЛКА,ՇԻՇ
Back color handle,Цвет ручки сзади,Հետևի բռնակի գույնը
Back feet adjustable from front,Задние ножки регулируются спереди,Հետևի ոտքերը կարգավորվում են առջևից
Back handle material,Материал задней ручки,Հետևի բռնակի նյութ
Bagel function,Функция для бейглов,Բեյգլի գործառույթ
Base Colour,Цвет основания,Հիմքի գույնը
Base Material,Материал основания,Հիմքի նյութ
Base color,Цвет основания,Հիմքի գույնը
Base colour,Цвет основания,Հիմքի գույնը
Base finishing,Отделка основания,Հիմքի հարդարում
Base material,Материал основания,Հիմքի նյութ
Base thickness,Толщина основания,Հիմքի հաստությունը
Base unit size,Размер базового блока,Հիմնական միավորի չափը
Basket,Корзина,Զամբյուղ
Basket colour,Цвет корзины,Զամբյուղի գույնը
Basket components colour,Цвет компонентов корзины,Զամբյուղի բաղադրիչների գույնը
Batters for desserts,Тесто для десертов,Աղանդերի խմոր
Battery life,Срок службы батареи,Մարտկոցի աշխատանքի ժամկետը
Battery type,Тип батареи,Մարտկոցի տեսակը
Battery weight,Вес батареи,Մարտկոցի քաշը
Beaker color,Цвет мензурки,Բաժակի գույնը
Beaker dimensions,Размеры мензурки,Բաժակի չափերը
Beaker lid,Крышка мензурки,Բաժակի կափարիչ
Beaker material,Материал мензурки,Բաժակի նյութ
Beaker net weight,Вес мензурки нетто,Բաժակի զուտ քաշը
Big Cups Tray Colour,Цвет лотка для больших чашек,Մեծ բաժակների սկուտեղի գույնը
Big Cups Tray Material,Материал лотка для больших чашек,Մեծ բաժակների սկուտեղի նյութ
Bigger cup hiusing,Корпус для большей чашки,Մեծ բաժակի պատյան
Black HPL chopping board,Разделочная доска из чёрного HPL,Սև HPL կտրող տախտակ
Black matt standard waste kit and rectangular overflow,Чёрный матовый стандартный сливной комплект и прямоугольный перелив,Սև փայլատ ստանդարտ արտահոսքի հավաքածու և ուղղանկյուն վարարում
Blacklit controls,Подсветка управления,Հետին լուսավորվող կառավարում
Blades material,Материал лезвий,Շեղբերի նյութ
Blender with bottle dimensions,Размеры блендера с бутылкой,Բլենդերի չափերը շշով
Blending arm material,Материал погружной части блендера,Բլենդերի ընկղմվող մասի նյութ
Body Material,Материал корпуса,Մարմնի նյութ
Body color,Цвет корпуса,Մարմնի գույնը
Body finishing,Отделка корпуса,Մարմնի հարդարում
Body internal coating,Внутреннее покрытие корпуса,Մարմնի ներքին ծածկույթ
Body material,Материал корпуса,Մարմնի նյութ
Boiler brewing group,Бойлер заварочной группы,Եռման խմբի կաթսա
Booster power central Multizone,Мощность бустера центральной Multizone,Կենտրոնական Multizone-ի բուսթերի հզորություն
Booster power left Bridge,Мощность бустера левого Bridge,Ձախ Bridge-ի բուսթերի հզորություն
Booster power left Multizone,Мощность бустера левой Multizone,Ձախ Multizone-ի բուսթերի հզորություն
Booster power right Bridge,Мощность бустера правого Bridge,Աջ Bridge-ի բուսթերի հզորություն
Booster power right Multizone,Мощность бустера правой Multizone,Աջ Multizone-ի բուսթերի հզորություն
Bottle,Бутылка,Շիշ
Bottle bottom and cap finishing,Отделка дна и крышки бутылки,Շշի հատակի և կափարիչի հարդարում
Bottle bottom and cap material,Материал дна и крышки бутылки,Շշի հատակի և կափարիչի նյութ
Bottle cap and lid material,Материал крышки и колпачка бутылки,Շշի կափարիչի և խցանի նյութ
Bottle capacity,Вместимость бутылки,Շշի տարողություն
Bottle material,Материал бутылки,Շշի նյութ
Bottle net capacity,Полезная вместимость бутылки,Շշի զուտ տարողություն
Bottle rack grid,Решётка для бутылок,Շշերի դարակի ցանց
Bottle shelf,Полка для бутылок,Շշերի դարակ
Bottle shelves with wire support,Полки для бутылок с проволочной опорой,Մետաղալարային հենարանով շշերի դարակներ
Bottom heating element power,Мощность нижнего нагревательного элемента,Ստորին ջեռուցման տարրի հզորություն
Bottom plate color,Цвет нижней пластины,Ստորին ափսեի գույնը
Bottom plate diameter,Диаметр нижней пластины,Ստորին ափսեի տրամագիծը
Bottom plate material,Материал нижней пластины,Ստորին ափսեի նյութ
Bottons Colour,Цвет кнопок,Կոճակների գույնը
Bowl capacity,Вместимость чаши,Թասի տարողություն
Bowl depth (mm),Глубина чаши (мм),Թասի խորություն (մմ)
Bowl dimensions LH, WxDxA (mm),Размеры чаши LH, ШxГxВ (мм),Թասի չափերը LH, ԼxԽxԲ (մմ)
Bowl dimensions, WxDxH (mm),Размеры чаши, ШxГxВ (мм),Թասի չափերը, ԼxԽxԲ (մմ)
Bowl handle,Ручка чаши,Թասի բռնակ
Bowl material,Материал чаши,Թասի նյութ
Bowl thickness (mm),Толщина чаши (мм),Թասի հաստությունը (մմ)
Bowl thickness LH (mm),Толщина чаши LH (мм),LH թասի հաստությունը (մմ)
Bowl type,Тип чаши,Թասի տեսակը
Bowl type LH,Тип чаши LH,Թասի տեսակը LH
Bowl type RH,Тип чаши RH,Թասի տեսակը RH
Brand,Бренд,Ապրանքանիշ
Bread knife,Хлебный нож,Հացի դանակ
Bread/pizza dough,Тесто для хлеба/пиццы,Հացի/պիցցայի խմոր
Bridge option,Опция моста,Կամրջի տարբերակ
Building in type,Тип встраивания,Ներկառուցման տեսակը
Built-In Niche,Ниша для встраивания,Ներկառուցման խորշ
Built-in cord wrap,Встроенная катушка для кабеля,Ներկառուցված լարի փաթաթիչ
Built-in niche,Ниша для встраивания,Ներկառուցման խորշ
Built-in type,Тип встраивания,Ներկառուցման տեսակը
Burner Coating,Покрытие горелки,Այրիչի ծածկույթ
Burner caps,Крышки горелок,Այրիչի կափարիչներ
Burners,Горелки,Այրիչներ
Burners Material,Материал горелок,Այրիչների նյութ
Button material,Материал кнопки,Կոճակի նյութ
Buttons Colour,Цвет кнопок,Կոճակների գույնը
Buttons Material,Материал кнопок,Կոճակների նյութ
Buttons color,Цвет кнопок,Կոճակների գույնը
Buttons colour,Цвет кнопок,Կոճակների գույնը
Buttons material,Материал кнопок,Կոճակների նյութ
Buttons ring color,Цвет кольца кнопок,Կոճակների օղակի գույնը
Buttons ring material,Материал кольца кнопок,Կոճակների օղակի նյութ
Buttons/Options,Кнопки/Опции,Կոճակներ/Տարբերակներ
CHOPPER,ИЗМЕЛЬЧИТЕЛЬ,ԿՏՐԻՉ
Cable color,Цвет кабеля,Մալուխի գույնը
Cable colour,Цвет кабеля,Մալուխի գույնը
Cable tie,Кабельная стяжка,Մալուխի կապիչ
Cable tie material,Материал кабельной стяжки,Մալուխի կապիչի նյութ
Can be installed in-column,Возможна установка в колонну,Հնարավոր է տեղադրել սյունակում
Cap airtight seal color,Цвет герметичного уплотнения колпачка,Խցանի հերմետիկ կնիքի գույնը
Cap airtight seal material,Материал герметичного уплотнения колпачка,Խցանի հերմետիկ կնիքի նյութ
Cap material,Материал колпачка,Խցանի նյութ
Cap with spout,Колпачок с носиком,Խցան ժայթքով
Capacity,Вместимость,Տարողություն
Carafe material,Материал кувшина,Սափորի նյութ
Caraffe capacity,Вместимость кувшина,Սափորի տարողություն
Caraffe handle colour,Цвет ручки кувшина,Սափորի բռնակի գույնը
Caraffe handle material,Материал ручки кувшина,Սափորի բռնակի նյութ
Caraffe lid colour,Цвет крышки кувшина,Սափորի կափարիչի գույնը
Caraffe lid material,Материал крышки кувшина,Սափորի կափարիչի նյութ
Caraffe material,Материал кувшина,Սափորի նյութ
Carton box depth,Глубина картонной коробки,Ստվարաթղթե տուփի խորություն
Carton box dimensions (mm),Размеры картонной коробки (мм),Ստվարաթղթե տուփի չափերը (մմ)
Carton box height,Высота картонной коробки,Ստվարաթղթե տուփի բարձրություն
Carton box width,Ширина картонной коробки,Ստվարաթղթե տուփի լայնություն
Cast iron wok support,Подставка для вока из чугуна,Չուգունե վոկի հենարան
Catalityc panels,Каталитические панели,Կատալիտիկ պանելներ
Catalytic Panels,Каталитические панели,Կատալիտիկ պանելներ
Category,Категория,Կատեգորիա
Category of the household refrigerating appliance model,Категория модели бытового холодильного прибора,Կենցաղային սառնարանային սարքի մոդելի կատեգորիա
Cavity,Полость,Խոռոչ
Cavity material,Материал полости,Խոռոչի նյութ
Central Multizone dimension,Размер центральной Multizone,Կենտրոնական Multizone-ի չափը
Ceramic base,Керамическое основание,Կերամիկական հիմք
Ceramic disc cartridge type,Тип керамического картриджа,Կերամիկական կարթրիջի տեսակը
Characteristics,Характеристики,Բնութագրեր
Characteristics of PVD coating,Характеристики PVD-покрытия,PVD ծածկույթի բնութագրերը
Characteristics of composite material,Характеристики композитного материала,Կոմպոզիտային նյութի բնութագրերը
Charcoal filters included,Угольные фильтры в комплекте,Ածխածնային ֆիլտրեր ներառված են
Chef Menu,Меню Шеф-повара,Խոհարարի մենյու
Chef's knife,Нож шеф-повара,Խոհարարի դանակ
Child lock (functions block),Блокировка от детей (блокировка функций),Մանկական կողպեք (գործառույթների արգելափակում)
Child lock (programme set lock),Блокировка от детей (блокировка программы),Մանկական կողպեք (ծրագրի արգելափակում)
Chimney,Дымоход,Ծխնելույզ
Chopper Net weight,Вес измельчителя нетто,Կտրիչի զուտ քաշը
Chopper dimensions,Размеры измельчителя,Կտրիչի չափերը
Chronology,Хронология,Ժամանակագրություն
Circolaire + fan,Циркуляция + вентилятор,Շրջանառություն + օդափոխիչ
Circolaire + fan + grill,Циркуляция + вентилятор + гриль,Շրջանառություն + օդափոխիչ + գրիլ
Circulaire heating element - Power,Мощность циркуляционного нагревательного элемента,Շրջանառության ջեռուցման տարրի հզորություն
Circular heating element - Power,Мощность кругового нагревательного элемента,Շրջանաձև ջեռուցման տարրի հզորություն
Circular heating element 2 - Power,Мощность кругового нагревательного элемента 2,Շրջանաձև ջեռուցման տարր 2-ի հզորություն
Clean filter indicator,Индикатор чистоты фильтра,Ֆիլտրի մաքրության ցուցիչ
Clean&Shine option,Опция Clean&Shine,Clean&Shine տարբերակ
Cleaning option,Опция очистки,Մաքրման տարբերակ
Cleaning system,Система очистки,Մաքրման համակարգ
Climate class,Климатический класс,Կլիմայական դաս
Climatic class,Климатический класс,Կլիմայական դաս
Clock / Time lever,Рычаг часов/времени,Ժամացույցի/ժամանակի լծակ
Co2 cylinder type compatibility,Совместимость с типом баллона CO2,CO2 բալոնի տեսակի համատեղելիություն
Codice UPC,Код UPC,UPC կոդ
Coffee Scoop,Мерная ложка для кофе,Սուրճի չափիչ գդալ
Colander,Дуршлаг,Քամիչ
Cold Froth Dense function,Функция холодной густой пены,Սառը խիտ փրփուրի գործառույթ
Cold Froth Light function,Функция холодной лёгкой пены,Սառը թեթև փրփուրի գործառույթ
Cold functions,Холодные функции,Սառը գործառույթներ
Cold insulation,Холодная изоляция,Սառը մեկուսացում
Cold milk Foam function,Функция пены из холодного молока,Սառը կաթի փրփուրի գործառույթ
Collaborations,Коллаборации,Համագործակցություններ
Collar colour,Цвет воротника,Օձիքի գույնը
Collar material,Материал воротника,Օձիքի նյութ
Color of glass shelf profile,Цвет профиля стеклянной полки,Ապակե դարակի պրոֆիլի գույնը
Colore Case,Цвет корпуса,Մարմնի գույնը
Colour,Цвет,Գույն
Colour Inner Components,Цвет внутренних компонентов,Ներքին բաղադրիչների գույնը
Column installation, with compatible washing-machine,Установка в колонну со стиральной машиной,Սյունակի տեղադրում համատեղելի լվացքի մեքենայի հետ
Combined filter,Комбинированный фильтр,Համակցված ֆիլտր
Command panel finish,Отделка панели управления,Կառավարման վահանակի հարդարում
Commercial depth,Коммерческая глубина,Առևտրային խորություն
Commercial height,Коммерческая высота,Առևտրային բարձրություն
Commercial width,Коммерческая ширина,Առևտրային լայնություն
Compatible cooking surfaces,Совместимые поверхности для приготовления,Համատեղելի պատրաստման մակերեսներ
Component finish,Отделка компонента,Բաղադրիչի հարդարում
Component finishing,Отделка компонента,Բաղադրիչի հարդարում
Components finishing,Отделка компонентов,Բաղադրիչների հարդարում
Compressor type,Тип компрессора,Կոմպրեսորի տեսակը
Concealed heating element,Скрытый нагревательный элемент,Թաքնված ջեռուցման տարր
Condensation efficiency,Эффективность конденсации,Կոնդենսացիայի արդյունավետություն
Condensation efficiency class,Класс эффективности конденсации,Կոնդենսացիայի արդյունավետության դաս
Condenser container full indicator,Индикатор заполнения контейнера конденсата,Կոնդենսատորի տարայի լրիվության ցուցիչ
Condenser filter,Конденсаторный фильтр,Կոնդենսատորի ֆիլտր
Condenser water drain hose,Шланг слива конденсата,Կոնդենսատի արտահոսքի գուլպան
Connected power,Подключённая мощность,Միացված հզորություն
Connectivity,Подключение,Միացում
Consumo di energia per ciclo in convezione naturale, seconda cavità,Энергопотребление за цикл в естественной конвекции, 2-я полость,Էներգիայի սպառում մեկ ցիկլով բնական կոնվեկցիայում, 2-րդ խոռոչ
Contact bottom diameter,Диаметр дна контакта,Կոնտակտի հատակի տրամագիծը
Control,Управление,Կառավարում
Control Lock / Child Safety,Блокировка управления / Защита от детей,Կառավարման կողպեք / Մանկական անվտանգություն
Control Panel,Панель управления,Կառավարման վահանակ
Control Settings,Настройки управления,Կառավարման կարգավորումներ
Control knob colour,Цвет ручки управления,Կառավարման կոճակի գույնը
Control knob material,Материал ручки управления,Կառավարման կոճակի նյութ
Control knob position,Положение ручки управления,Կառավարման կոճակի դիրքը
Control knob protection,Защита ручки управления,Կառավարման կոճակի պաշտպանություն
Control knobs,Ручки управления,Կառավարման կոճակներ
Control knobs material,Материал ручек управления,Կառավարման կոճակների նյութ
Control lock,Блокировка управления,Կառավարման կողպեք
Control setting,Настройка управления,Կառավարման կարգավորում
Controls,Органы управления,Կառավարման տարրեր
Controls Lock / Child Safety,Блокировка управления / Защита от детей,Կառավարման կողպեք / Մանկական անվտանգություն
Controls colour,Цвет органов управления,Կառավարման տարրերի գույնը
Convection + Grill function,Функция конвекция + гриль,Կոնվեկցիա + գրիլ գործառույթ
Convertible temperature drawer,Трансформируемый ящик с температурой,Փոխակերպվող ջերմաստիճանային դարակ
Cooker configuration,Конфигурация плиты,Սալօջախի կոնֆիգուրացիա
Cooker size,Размер плиты,Սալօջախի չափը
