key_en,key_ru,key_hy
Hot water/steam Spout Color,Цвет носика горячей воды/пара,Տաք ջրի/գոլորշու ժայթքի գույնը
Humidity sensor,Датчик влажности,Խոնավության սենսոր
Hygiene 99,9%,Гигиена 99,9%,Հիգիենա 99,9%
Ice maker,Льдогенератор,Սառույցի արտադրիչ
Ice shape,Форма льда,Սառույցի ձև
Ice tray shelf,Полка для лотка для льда,Սառույցի սկուտեղի դարակ
Increments,Приращения,Ավելացումներ
Independent cooling systems,Независимые системы охлаждения,Անկախ սառեցման համակարգեր
Independent slot,Независимый слот,Անկախ անցք
Induction system with automatic switch off,Индукционная система с автоматическим отключением,Ավտոմատ անջատմամբ ինդուկցիոն համակարգ
Inferior collar material,Материал нижнего воротника,Ստորին օձիքի նյութ
Inner bowl finishing,Внутренняя отделка чаши,Ներքին թասի հարդարում
Inner bowl material,Внутренний материал чаши,Ներքին թասի նյութ
Insert gird,Вставная решётка,Ներդիր ցանց
Installation,Установка,Տեղադրում
Installation positioning of the appliance,Расположение прибора при установке,Սարքի տեղադրման դիրք
Installation type,Тип установки,Տեղադրման տեսակը
Instant GO,Мгновенный старт,Ակնթարթային մեկնարկ
Integrated cord,Встроенный кабель,Ներկառուցված մալուխ
Integrated cord wrap,Встроенная катушка для кабеля,Ներկառուցված լարի փաթաթիչ
Integrated flush waste kit,Встроенный комплект для слива,Ներկառուցված արտահոսքի հավաքածու
Integrated heating element,Встроенный нагревательный элемент,Ներկառուցված ջեռուցման տարր
Intense,Интенсивный,Ինտենսիվ
Intense 60°,Интенсивный 60°,Ինտենսիվ 60°
Intensive Pro,Интенсивный Pro,Ինտենսիվ Pro
Intensive speed,Интенсивная скорость,Ինտենսիվ արագություն
Internal body material,Материал внутреннего корпуса,Ներքին մարմնի նյութ
Internal coating,Внутреннее покрытие,Ներքին ծածկույթ
Internal coating made without PFAS,Внутреннее покрытие без PFAS,Ներքին ծածկույթ՝ առանց PFAS-ի
Internal color,Внутренний цвет,Ներքին գույն
Internal freezer compartment,Внутреннее морозильное отделение,Ներքին սառցախցիկ
Internal light,Внутренняя подсветка,Ներքին լուսավորություն
Internal light in freezer,Подсветка в морозильной камере,Սառցախցիկի ներքին լուսավորություն
Internal light in fridge,Подсветка в холодильнике,Սառնարանի ներքին լուսավորություն
Inverter,Инвертор,Ինվերտոր
Ionizer,Ионизатор,Իոնիզատոր
Jet type,Тип струи,Շիթի տեսակը
Keep Warm,Поддержание тепла,Տաք պահում
Keep Warm mode,Режим поддержания тепла,Տաք պահման ռեժիմ
Keep warm,Поддержание тепла,Տաք պահում
Keep warm automatic function,Автоматическое поддержание тепла,Տաքի ավտոմատ պահպանման գործառույթ
Kit with aesthetic components,Комплект с эстетическими компонентами,Էսթետիկ բաղադրիչների հավաքածու
Kitchen panel,Кухонная панель,Խոհանոցային վահանակ
Knives material,Материал ножей,Դանակների նյութ
Knives slots material,Материал слотов для ножей,Դանակների անցքերի նյութ
Knob,Ручка,Կոճակ
Knob Color,Цвет ручки,Կոճակի գույնը
Knob Material,Материал ручки,Կոճակի նյութ
Knob ring finishing,Отделка кольца ручки,Կոճակի օղակի հարդարում
Knob ring material,Материал кольца ручки,Կոճակի օղակի նյութ
LED Display,LED-дисплей,LED էկրան
LED colour on,Цвет LED при включении,LED-ի գույնը միացման ժամանակ
LED colours,Цвета LED,LED գույներ
LED hidden display,Скрытый LED-дисплей,Թաքնված LED էկրան
LED/display colour,Цвет LED/дисплея,LED/էկրանի գույնը
LH Bowl depth (mm),Глубина чаши LH (мм),LH թասի խորություն (մմ)
Large grill - Power,Большой гриль - Мощность,Մեծ գրիլ - Հզորություն
Largest loadable dish in lower basket,Самая большая посуда в нижней корзине,Ստորին զամբյուղի ամենամեծ բեռնվող աման
Largest loadable dish in upper basket,Самая большая посуда в верхней корзине,Վերին զամբյուղի ամենամեծ բեռնվող աման
Led color,Цвет LED,LED գույն
Led/display colour,Цвет LED/дисплея,LED/էկրանի գույնը
Left Bridge dimension,Размер левого моста,Ձախ կամրջի չափ
Left Multizone dimension,Размер левой Multizone,Ձախ Multizone-ի չափ
Lever material,Материал рычага,Լծակի նյութ
Lid colour,Цвет крышки,Կափարիչի գույնը
Lid material,Материал крышки,Կափարիչի նյութ
Lid opening,Открывание крышки,Կափարիչի բացում
Lid with seal,Крышка с уплотнением,Կնիքով կափարիչ
Life Plus zone-0°C,Зона Life Plus - 0°C,Life Plus գոտի - 0°C
Light Power,Мощность освещения,Լուսավորության հզորություն
Light color temperature range,Диапазон цветовой температуры света,Լույսի գունային ջերմաստիճանի միջակայք
Light color temperature scale (K),Шкала цветовой температуры света (K),Լույսի գունային ջերմաստիճանի սանդղակ (K)
Light type,Тип освещения,Լուսավորության տեսակը
Light when door is opened,Подсветка при открытии дверцы,Դռան բացման ժամանակ լուսավորություն
Light when oven door is open,Подсветка при открытии дверцы духовки,Ջեռոցի դռան բացման ժամանակ լուսավորություն
Lighting Efficiency (LE),Эффективность освещения (LE),Լուսավորության արդյունավետություն (LE)
Lighting Efficiency Class (LEC),Класс эффективности освещения (LEC),Լուսավորության արդյունավետության դաս (LEC)
Lighting forced ON,Принудительное включение освещения,Հարկադիր լուսավորություն ՄԻԱՑՎԱԾ
Limescale,Накипь,Կրաքար
Limited Power Consumption Mode,Режим ограниченного энергопотребления,Սահմանափակ էներգիայի սպառման ռեժիմ
Limited Power Consumption Mode in W,Режим ограниченного энергопотребления в Вт,Սահմանափակ էներգիայի սպառման ռեժիմ (Վտ)
Liquid detergent accessory as standard,Жидкое моющее средство в комплекте,Հեղուկ լվացող միջոց ստանդարտ փաթեթում
Load balancing system,Система балансировки загрузки,Բեռի հավասարակշռման համակարգ
Load capacity,Загрузочная способность,Բեռնման հզորություն
Load capacity (cotton),Загрузочная способность (хлопок),Բեռնման հզորություն (բամբակ)
Load type,Тип загрузки,Բեռնման տեսակը
Loading capacity,Загрузочная способность,Բեռնման հզորություն
Logo body type,Тип корпуса логотипа,Լոգոտիպի մարմնի տեսակը
Logo cap type,Тип колпачка логотипа,Լոգոտիպի խցանի տեսակը
Low temperature compartment,Низкотемпературное отделение,Ցածր ջերմաստիճանի խցիկ
Lower Basket,Нижняя корзина,Ստորին զամբյուղ
Lower basket with anti-drip inserts,Нижняя корзина с противокапельными вставками,Հակակաթիլային ներդիրներով ստորին զամբյուղ
Lower collar colour,Цвет нижнего воротника,Ստորին օձիքի գույնը
Lower grip colour,Цвет нижней рукоятки,Ստորին բռնակի գույնը
Lower grip material,Материал нижней рукоятки,Ստորին բռնակի նյութ
Lower heating element - power,Нижний нагревательный элемент - мощность,Ստորին ջեռուցման տարր - հզորություն
Lower heating element power,Мощность нижнего нагревательного элемента,Ստորին ջեռուցման տարրի հզորություն
Luxory rack,Люкс-решетка,Շքեղության դարակ
Luxory rack (inox),Люкс-решетка (инокс),Շքեղության դարակ (inox)
Main on/off switch,Главный выключатель,Գլխավոր անջատիչ
Manual Cold function,Ручная функция холода,Ձեռքով սառը գործառույթ
Manual Hot function,Ручная функция тепла,Ձեռքով տաք գործառույթ
Material,Материал,Նյութ
Max Capacity (bottles 0,75lt),Макс. вместимость (бутылки 0,75 л),Առավելագույն հզորություն (0,75 լ շշեր)
Max capacity,Макс. вместимость,Առավելագույն հզորություն
Max egg whites,Макс. яичных белков,Առավելագույն ձվի սպիտակուցներ
Max milk Frothing Capacity,Макс. вместимость для вспенивания молока,Կաթի փրփրման առավելագույն հզորություն
Max milk Heating Capacity,Макс. вместимость для нагрева молока,Կաթի տաքացման առավելագույն հզորություն
Max pre-prepared cake batters,Макс. готовых смесей для тортов,Առավելագույն նախապատրաստված տորթի խմոր
Max spin,Макс. отжим,Առավելագույն պտտում
Max spin speed,Макс. скорость отжима,Պտտման առավելագույն արագություն
Max water hardness,Макс. жёсткость воды,Ջրի առավելագույն կարծրություն
Max. door opening angle,Макс. угол открытия дверцы,Դռան բացման առավելագույն անկյուն
Maximum capacity,Максимальная вместимость,Առավելագույն հզորություն
Maximum pressure,Максимальное давление,Առավելագույն ճնշում
Maximum temperature,Максимальная температура,Առավելագույն ջերմաստիճան
Measured air flow rate at best efficiency point (Qbep),Измеренный расход воздуха в точке лучшей эффективности (Qbep),Լավագույն արդյունավետության կետում օդի հոսքի չափված արագություն (Qbep)
Measured air pressure at best efficiency point (Pbep),Измеренное давление воздуха в точке лучшей эффективности (Pbep),Լավագույն արդյունավետության կետում օդի ճնշման չափված արժեք (Pbep)
Measured electric power input at best efficiency point (Wbep),Измеренная электрическая мощность в точке лучшей эффективности (Wbep),Լավագույն արդյունավետության կետում էլեկտրական հզորության չափված արժեք (Wbep)
Measurer/Tamper,Мерная ложка/Трамбовка,Չափիչ/Խտացուցիչ
Measuring Cup Material,Материал мерного стакана,Չափիչ բաժակի նյութ
Meat Probe,Термозонд для мяса,Մսի ջերմազոնդ
Meat knife,Нож для мяса,Մսի դանակ
Melting/Low temperature cooking function,Плавление/Приготовление при низкой температуре,Հալում/Ցածր ջերմաստիճանի խոհարարության գործառույթ
Menu button,Кнопка меню,Մենյուի կոճակ
Metal panel on the back of the fridge,Металлическая панель на задней стенке холодильника,Սառնարանի հետևի մետաղական վահանակ
Microwave,Микроволновая печь,Միկրոալիքային վառարան
Microwave + Convection function,Функция микроволны + конвекция,Միկրոալիք + Կոնվեկցիա գործառույթ
Microwave + Grill function,Функция микроволна + гриль,Միկրոալիք + Գրիլ գործառույթ
Microwave + circulaire + fan,Микроволна + циркуляция + вентилятор,Միկրոալիք + Շրջանառություն + օդափոխիչ
Microwave + grill,Микроволна + гриль,Միկրոալիք + գրիլ
Microwave - Input power,Микроволна - Входная мощность,Միկրոալիք - Մուտքային հզորություն
Microwave - Output power,Микроволна - Выходная мощность,Միկրոալիք - Ելքային հզորություն
Microwave effective power,Эффективная мощность микроволны,Միկրոալիքի արդյունավետ հզորություն
Microwave function,Функция микроволны,Միկրոալիքի գործառույթ
Microwave screen protection,Защита экрана микроволновки,Միկրոալիքի էկրանի պաշտպանություն
Microwave stops when door is opened,Микроволна останавливается при открытии дверцы,Դռան բացման ժամանակ միկրոալիքը դադարում է
Milk and Chocolate heating Jug capacity,Вместимость кувшина для подогрева молока и шоколада,Կաթի և շոկոլադի տաքացման սափորի հզորություն
Min Capacity,Мин. вместимость,Նվազագույն հզորություն
Min spin,Мин. отжим,Նվազագույն պտտում
Min. and max plinth height,Мин. и макс. высота цоколя,Ցոկոլի նվազագույն և առավելագույն բարձրություն
Min. and max. frontal panel weight,Мин. и макс. вес передней панели,Առջևի վահանակի նվազագույն և առավելագույն քաշ
Min. egg whites,Мин. яичных белков,Նվազագույն ձվի սպիտակուցներ
Minimum Temperature,Минимальная температура,Նվազագույն ջերմաստիճան
Minimum distance from ELECTRIC hob,Мин. расстояние от электрической варочной панели,Էլեկտրական վառարանից նվազագույն հեռավորություն
Minimum distance from GAS hob,Мин. расстояние от газовой варочной панели,Գազի վառարանից նվազագույն հեռավորություն
Minimum pan diameter indication,Индикация мин. диаметра посуды,Թավայի նվազագույն տրամագծի ցուցում
Minimum pressure,Минимальное давление,Նվազագույն ճնշում
Minute minder,Таймер,Ժմչփ
Minutes count up timer,Таймер с отсчётом минут,Րոպեների հաշվման ժմչփ
Mix,Смесь,Խառնուրդ
Mix 60°,Смесь 60°,Խառնուրդ 60°
Mix PRO,Смесь PRO,Խառնուրդ PRO
Moka stand,Подставка для моки,Մոկայի հենարան
Moka stand in cast iron,Подставка для моки из чугуна,Չուգունե մոկայի հենարան
Motor,Мотор,Շարժիչ
Motor overload protection,Защита от перегрузки двигателя,Շարժիչի գերբեռնվածության պաշտպանություն
Motor power,Мощность двигателя,Շարժիչի հզորություն
Motor thermal protection,Термозащита двигателя,Շարժիչի ջերմապաշտպանություն
Motor type,Тип двигателя,Շարժիչի տեսակը
Motorised opening,Моторизованное открывание,Մոտորացված բացում
Multi-step,Многоступенчатый,Բազմաստիճան
Multi-step cooking,Многоступенчатое приготовление,Բազմաստիճան խոհարարություն
Multi-step function,Многоступенчатая функция,Բազմաստիճան գործառույթ
MultiFlow,Мультипоток,Բազմահոսք
MultiZone,Мультизона,Բազմագոտի
Multitech functions,Функции Multitech,Multitech գործառույթներ
Multizone Option,Опция Multizone,Multizone տարբերակ
N. cold functions,Кол-во холодных функций,Սառը գործառույթների քանակ
N. of fans,Кол-во вентиляторов,Օդափոխիչների քանակ
N. of ovens,Кол-во духовок,Ջեռոցների քանակ
N. of programmes,Кол-во программ,Ծրագրերի քանակ
Natural Plus Blu Light,Естественный плюс синий свет,Բնական գումարած կապույտ լույս
Net Weight (kg),Вес нетто (кг),Զուտ քաշ (կգ)
Net freezing capacity,Полезная мощность заморозки,Զուտ սառեցման հզորություն
Net volume,Полезный объём,Զուտ ծավալ
Net volume of the cavity,Полезный объём полости,Խոռոչի զուտ ծավալ
Net volume of the second cavity,Полезный объём второй полости,Երկրորդ խոռոչի զուտ ծավալ
Net volume, 3rd cavity,Полезный объём, 3-я полость,Զուտ ծավալ, 3-րդ խոռոչ
Net weight,Вес нетто,Զուտ քաշ
Net weight (kg),Вес нетто (кг),Զուտ քաշ (կգ)
Networked standby activation time,Время активации сетевого режима ожидания,Ցանցային սպասման ռեժիմի ակտիվացման ժամանակ
Networked standby power,Мощность в сетевом режиме ожидания,Ցանցային սպասման ռեժիմի հզորություն
Nickel free,Без никеля,Առանց նիկելի
No. of Flexible zones,Кол-во гибких зон,Ճկուն գոտիների քանակ
No. of adjustable door shelves,Кол-во регулируемых полок на дверце,Դռան կարգավորվող դարակների քանակ
No. of adjustable shelves,Кол-во регулируемых полок,Կարգավորվող դարակների քանակ
No. of bottle shelves,Кол-во полок для бутылок,Շշերի դարակների քանակ
No. of bowls,Кол-во чаш,Թասերի քանակ
No. of ceramic cook zones,Кол-во керамических зон,Կերամիկական գոտիների քանակ
No. of clips,Кол-во клипс,Կցորդների քանակ
No. of compartments with flap,Кол-во отделений с клапаном,Փեղկով խցիկների քանակ
No. of compressors,Кол-во компрессоров,Կոմպրեսորների քանակ
No. of control knobs,Кол-во ручек управления,Կառավարման կոճակների քանակ
No. of controls,Кол-во органов управления,Կառավարման տարրերի քանակ
No. of cooking functions,Кол-во функций приготовления,Խոհարարության գործառույթների քանակ
No. of cooking functions secondary oven,Кол-во функций приготовления для второй духовки,Երկրորդ ջեռոցի խոհարարության գործառույթների քանակ
No. of cooking zones with Booster,Кол-во зон с бустером,Բուսթերով գոտիների քանակ
No. of cooking zones with booster,Кол-во зон с бустером,Բուսթերով գոտիների քանակ
No. of door shelves with transparent cover,Кол-во полок на дверце с прозрачной крышкой,Թափանցիկ ծածկով դռների դարակների քանակ
No. of electric plate cook zones,Кол-во электрических зон,Էլեկտրական գոտիների քանակ
No. of filters,Кол-во фильтров,Ֆիլտրերի քանակ
No. of functions,Кол-во функций,Գործառույթների քանակ
No. of functions third oven,Кол-во функций для третьей духовки,Երրորդ ջեռոցի գործառույթների քանակ
No. of gas cook zones,Кол-во газовых зон,Գազի գոտիների քանակ
No. of induction cook zones,Кол-во индукционных зон,Ինդուկցիոն գոտիների քանակ
No. of lights,Кол-во светильников,Լուսատուների քանակ
No. of programmes,Кол-во программ,Ծրագրերի քանակ
No. of shelves,Кол-во полок,Դարակների քանակ
No. of shelves/ levels,Кол-во полок/уровней,Դարակների/մակարդակների քանակ
No. of slices,Кол-во ломтиков,Կտորների քանակ
No. of slots,Кол-во слотов,Անցքերի քանակ
No. of speeds,Кол-во скоростей,Արագությունների քանակ
No. of thermo-reflective door glasses,Кол-во теплоотражающих стёкол,Ջերմային անդրադարձման ապակիների քանակ
No. of thermoreflecting door glasses,Кол-во теплоотражающих стёкол,Ջերմային անդրադարձման ապակիների քանակ
No. of toasting levels,Кол-во уровней поджаривания,Բովելու մակարդակների քանակ
No. of total door glasses,Общее кол-во стёкол в дверце,Դռան ապակիների ընդհանուր քանակ
No. of warming functions,Кол-во функций подогрева,Տաքացման գործառույթների քանակ
No. thermo-reflective door glasses,Кол-во теплоотражающих стёкол,Ջերմային անդրադարձման ապակիների քանակ
No. total door glasses,Общее кол-во стёкол в дверце,Դռան ապակիների ընդհանուր քանակ
No.of thermo-reflective door glasses,Кол-во теплоотражающих стёкол,Ջերմային անդրադարձման ապակիների քանակ
Noise level,Уровень шума,Աղմուկի մակարդակ
Noise level IEC 60704-2-13,Уровень шума IEC 60704-2-13,Աղմուկի մակարդակ IEC 60704-2-13
Noise level for the standard cotton programme at full load,Уровень шума для стандартной программы хлопок при полной загрузке,Աղմուկի մակարդակ ստանդարտ բամբակյա ծրագրի համար՝ ամբողջ բեռնվածությամբ
Nominal Power consumption of the light system (WL),Номинальное энергопотребление системы освещения (WL),Լուսավորության համակարգի անվանական էներգիայի սպառում (WL)
Nominal power,Номинальная мощность,Անվանական հզորություն
Non return valve,Обратный клапан,Չվերադարձվող փական
Non-return valve,Обратный клапан,Չվերադարձվող փական
Non-slip feet material,Материал противоскользящих ножек,Հակասայթաքման ոտքերի նյութ
Notched Disc for Froth and Manual functions,Диск с насечками для пены и ручных функций,Խազերով սկավառակ փրփուրի և ձեռքով գործառույթների համար
Nr Crumb tray,Кол-во лотков для крошек,Փշրանքների սկուտեղների քանակ
Nr control panel,Кол-во панелей управления,Կառավարման վահանակների քանակ
Number of Flexible zones,Количество гибких зон,Ճկուն գոտիների քանակ
Number of adjustable door shelves,Количество регулируемых полок на дверце,Դռան կարգավորվող դարակների քանակ
Number of compressors,Количество компрессоров,Կոմպրեսորների քանակ
Number of door glasses,Количество стёкол в дверце,Դռան ապակիների քանակ
Number of drawers,Количество ящиков,Դարակների քանակ
Number of fixed shelves,Количество стационарных полок,Ֆիքսված դարակների քանակ
Number of fruit and vegetables drawers,Количество ящиков для фруктов и овощей,Մրգերի և բանջարեղենի դարակների քանակ
Number of place settings,Количество приборов,Տեղերի քանակ
Number of removable and folding shelves,Количество съёмных и складных полок,Շարժական և ծալովի դարակների քանակ
Number of removable shelves,Количество съёмных полок,Շարժական դարակների քանակ
N° automatic recipes,Кол-во автоматических рецептов,Ավտոմատ բաղադրատոմսերի քանակ
N° baskets,Кол-во корзин,Զամբյուղների քանակ
N° buttons,Кол-во кнопок,Կոճակների քանակ
N° of beverage buttons,Кол-во кнопок напитков,Խմիչքների կոճակների քանակ
ON/OFF button,Кнопка ВКЛ/ВЫКЛ,ՄԻԱՑՈՒՄ/ԱՆՋԱՏՈՒՄ կոճակ
ON/OFF switch,Выключатель ВКЛ/ВЫКЛ,ՄԻԱՑՈՒՄ/ԱՆՋԱՏՈՒՄ անջատիչ
Oak HPL chopping board,Дубовая разделочная доска из HPL,Կաղնու HPL կտրող տախտակ
On/Off buttons colour,Цвет кнопок Вкл/Выкл,Միացում/Անջատում կոճակների գույնը
On/off indicator,Индикатор вкл/выкл,Միացման/անջատման ցուցիչ
On/off indicator (light),Индикатор вкл/выкл (световой),Միացման/անջատման ցուցիչ (լուսային)
Opening,Отверстие,Բացվածք
Optimal pressure,Оптимальное давление,Օպտիմալ ճնշում
Optimus beater,Венчик Optimus,Optimus հարիչ
Optimus beater material,Материал венчика Optimus,Optimus հարիչի նյութ
Option Time Programmes,Опция Программы по времени,Ժամանակային ծրագրերի տարբերակ
Option drying level,Опция уровня сушки,Չորացման մակարդակի տարբերակ
Orange Menu,Оранжевое меню,Նարնջագույն մենյու
Other,Другое,Այլ
Other Microwave functions,Другие функции микроволновой печи,Միկրոալիքային այլ գործառույթներ
Other accessories,Другие аксессуары,Այլ աքսեսուարներ
Other functions,Другие функции,Այլ գործառույթներ
Other gas connections provided,Другие газовые подключения в комплекте,Այլ գազային միացումներ ներառված են
Other gas nozzles included,Другие газовые форсунки в комплекте,Այլ գազի վարդակներ ներառված են
Other options,Другие опции,Այլ տարբերակներ
Oven grid with back stop,Решётка духовки с задним упором,Ջեռոցի ցանց հետևի կանգառով
Oven safe,Пригоден для использования в духовке,Ջեռոցում օգտագործման համար
Overflow,Перелив,Վարարում
Overflow LH bowl,Перелив чаши LH,LH թասի վարարում
PST certificate support period [UK],Период поддержки сертификата PST [Великобритания],PST վկայագրի աջակցության ժամկետ [Մեծ Բրիտանիա]
Packaged Product Depth,Глубина упакованного продукта,Փաթեթավորված արտադրանքի խորություն
Packaged Product Height,Высота упакованного продукта,Փաթեթավորված արտադրանքի բարձրություն
Packaged Product Width,Ширина упакованного продукта,Փաթեթավորված արտադրանքի լայնություն
Packaged depth,Глубина упаковки,Փաթեթավորման խորություն
Packaged height,Высота упаковки,Փաթեթավորման բարձրություն
Packaged width,Ширина упаковки,Փաթեթավորման լայնություն
Packaging Composition - Paper and Cardboard (kg),Состав упаковки - бумага и картон (кг),Փաթեթավորման կազմը - թուղթ և ստվարաթուղթ (կգ)
Packaging Composition - Plastic (kg),Состав упаковки - пластик (кг),Փաթեթավորման կազմը - պլաստիկ (կգ)
Packaging Composition - Polystyrene (kg),Состав упаковки - полистирол (кг),Փաթեթավորման կազմը - պոլիստիրոլ (կգ)
Packaging Composition - Wood (kg),Состав упаковки - древесина (кг),Փաթեթավորման կազմը - փայտ (կգ)
Packaging Type,Тип упаковки,Փաթեթավորման տեսակը
Packaging composition - paper & cardboard,Состав упаковки - бумага и картон,Փաթեթավորման կազմը - թուղթ և ստվարաթուղթ
Packaging composition - paper & cardboard (kg),Состав упаковки - бумага и картон (кг),Փաթեթավորման կազմը - թուղթ և ստվարաթուղթ (կգ)
Packaging composition - paper and Cardboard (kg),Состав упаковки - бумага и картон (кг),Փաթեթավորման կազմը - թուղթ և ստվարաթուղթ (կգ)
Packaging composition - plastic (kg),Состав упаковки - пластик (кг),Փաթեթավորման կազմը - պլաստիկ (կգ)
Packaging composition - polystyrene (kg),Состав упаковки - полистирол (кг),Փաթեթավորման կազմը - պոլիստիրոլ (կգ)
Packaging composition - wood (kg),Состав упаковки - древесина (кг),Փաթեթավորման կազմը - փայտ (կգ)
Packed Product Dimensions,Размеры упакованного продукта,Փաթեթավորված արտադրանքի չափերը
Packed Product Dimensions (mm),Размеры упакованного продукта (мм),Փաթեթավորված արտադրանքի չափերը (մմ)
Packed depth (mm),Глубина упаковки (мм),Փաթեթավորման խորություն (մմ)
Packed height (mm),Высота упаковки (мм),Փաթեթավորման բարձրություն (մմ)
Packed width,Ширина упаковки,Փաթեթավորման լայնություն
Packed width (mm),Ширина упаковки (мм),Փաթեթավորման լայնություն (մմ)
Pan Stand Coating,Покрытие подставки для кастрюль,Թավայի հենարանի ծածկույթ
Pan reducer/Moka stand,Переходник для посуды/Подставка для моки,Թավայի կրճատիչ/Մոկայի հենարան
Pan stands,Подставки для посуды,Թավայի հենարաններ
Paper Pods Filter,Фильтр для бумажных капсул,Թղթե պարկուճների ֆիլտր
Pause function,Функция паузы,Դադարի գործառույթ
Pause option,Опция паузы,Դադարի տարբերակ
Perimeter extraction,Периметральная вытяжка,Պարագծային արտահանում
Permanent Automatic Pot Detection with indication of the relative control,Постоянное автоматическое обнаружение посуды с индикацией управления,Մշտական ավտոմատ թավայի հայտնաբերում՝ կառավարման ցուցումով
Permanent filter colour,Цвет постоянного фильтра,Մշտական ֆիլտրի գույնը
Permanent filter material,Материал постоянного фильтра,Մշտական ֆիլտրի նյութ
Pizza,Пицца,Պիցցա
Pizza Accessories,Аксессуары для пиццы,Պիցցայի աքսեսուարներ
Pizza Oven,Печь для пиццы,Պիցցայի ջեռոց
Pizza dish,Форма для пиццы,Պիցցայի աման
Plate rack/warmer,Подставка/подогреватель для тарелок,Ափսեների դարակ/տաքացուցիչ
Plinth,Цоколь,Ցոկոլ
Plinth colour,Цвет цоколя,Ցոկոլի գույնը
Plug,Вилка,Խրոցակ
Polypropilene tank,Бак из полипропилена,Պոլիպրոպիլենային բաք
Popup command,Всплывающая команда,Բացվող հրաման
Popup command type,Тип всплывающей команды,Բացվող հրամանի տեսակը
Possibility to install waste disposal,Возможность установки измельчителя отходов,Աղբի մանրացման տեղադրման հնարավորություն
Possible gas hob replacement,Возможная замена газовой варочной панели,Գազի վառարանի հնարավոր փոխարինում
Pouring shield,Защитный экран для наливания,Լցման պաշտպանիչ վահան
Pouring shield material,Материал защитного экрана,Լցման պաշտպանիչ վահանի նյութ
Power,Мощность,Հզորություն
