value_en,value_ru,value_hy
'Glassy' ceramic,Стеклокерамика 'Glassy','Glassy' կերամիկա
(C) Eurospina,(C) Eurospina,(C) Eurospina
(F;E) Schuko,(F;E) Schuko,(F;E) Schuko
(G) UK e Singapore,(G) Великобритания и Сингапур,(G) Միացյալ Թագավորություն և Սինգապուր
(I) Australia,(I) Австралия,(I) Ավստրալիա
(max. 300 g flour/ min. 55% hydration),(макс. 300 г муки/ мин. 55% гидратация),(առավելագույնը 300 գ ալյուր/ նվազագույնը 55% խոնավություն)
0 min,0 мин,0 րոպե
"0,5 bar","0,5 бар","0,5 բար"
0.0 lux/W,0.0 люкс/Вт,0.0 լյուքս/Վտ
0.44 kWh,0.44 кВтч,0.44 կՎտժ
0.51 kWh,0.51 кВтч,0.51 կՎտժ
0.60 kWh,0.60 кВтч,0.60 կՎտժ
0.68 kWh,0.68 кВтч,0.68 կՎտժ
0.71 kWh,0.71 кВтч,0.71 կՎտժ
0.73 kWh,0.73 кВтч,0.73 կՎտժ
0.74 kWh,0.74 кВтч,0.74 կՎտժ
0.77 kWh,0.77 кВтч,0.77 կՎտժ
0.78 kWh,0.78 кВтч,0.78 կՎտժ
0.8 lt / 3 cups,0.8 л / 3 чашки,0.8 լ / 3 բաժակ
0.80 kWh,0.80 кВтч,0.80 կՎտժ
0.81 kWh,0.81 кВтч,0.81 կՎտժ
0.82 kWh,0.82 кВтч,0.82 կՎտժ
0.83 kWh,0.83 кВтч,0.83 կՎտժ
0.84 kWh,0.84 кВтч,0.84 կՎտժ
0.90 kWh,0.90 кВтч,0.90 կՎտժ
0.95 kWh,0.95 кВтч,0.95 կՎտժ
0.96 kWh,0.96 кВтч,0.96 կՎտժ
0.98 kWh,0.98 кВтч,0.98 կՎտժ
0.99 kWh,0.99 кВтч,0.99 կՎտժ
1 - Refrigerator with one or more fresh-food storage compartments,1 - Холодильник с одним или несколькими отделениями для свежих продуктов,1 - Սառնարան մեկ կամ ավելի թարմ սննդի պահեստավորման խցիկներով
1 Tap hole,1 отверстие под кран,1 ծորակի անցք
1 bar,1 бар,1 բար
1 ice box,1 контейнер для льда,1 սառույցի տուփ
1 min,1 мин,1 րոպե
"1,8 Lt/ 60 Oz/ 7 Cups","1,8 л/ 60 унций/ 7 чашек","1,8 լ/ 60 ունցիա/ 7 բաժակ"
1.09 kWh,1.09 кВтч,1.09 կՎտժ
1.12 kWh,1.12 кВтч,1.12 կՎտժ
1.13 kWh,1.13 кВтч,1.13 կՎտժ
1.15 kWh,1.15 кВтч,1.15 կՎտժ
1.21 kWh,1.21 кВтч,1.21 կՎտժ
1.24 kWh,1.24 кВтч,1.24 կՎտժ
1.25 kWh,1.25 кВтч,1.25 կՎտժ
1.29 kWh,1.29 кВтч,1.29 կՎտժ
1.35 kWh,1.35 кВтч,1.35 կՎտժ
1.39 kWh,1.39 кВтч,1.39 կՎտժ
1.52 kWh,1.52 кВтч,1.52 կՎտժ
1.7 lt / 7 cups,1.7 л / 7 чашек,1.7 լ / 7 բաժակ
1.8 kg total dough (max. 1.2 kg flour),1.8 кг общего теста (макс. 1.2 кг муки),1.8 կգ ընդհանուր խմոր (առավելագույնը 1.2 կգ ալյուր)
1.9 kg total dough (max. 1.2 kg flour/ min. 55% hydration),1.9 кг общего теста (макс. 1.2 кг муки/ мин. 55% гидратация),1.9 կգ ընդհանուր խմոր (առավելագույնը 1.2 կգ ալյուր/ նվազագույնը 55% խոնավություն)
10 bar,10 бар,10 բար
10 min,10 мин,10 րոպե
10 min/20min/30min,10 мин/20 мин/30 мин,10 րոպե/20 րոպե/30 րոպե
10.5 litres,10.5 литров,10.5 լիտր
100 kWh/a,100 кВтч/год,100 կՎտժ/տարի
100 lux,100 люкс,100 լյուքս
100.2 lux/W,100.2 люкс/Вт,100.2 լյուքս/Վտ
102.3 lux/W,102.3 люкс/Вт,102.3 լյուքս/Վտ
103 kWh/a,103 кВтч/год,103 կՎտժ/տարի
104 kWh/a,104 кВтч/год,104 կՎտժ/տարի
106 kWh/a,106 кВтч/год,106 կՎտժ/տարի
108 min,108 мин,108 րոպե
11 lux/W,11 люкс/Вт,11 լյուքս/Վտ
110 min,110 мин,110 րոպե
111.8 lux/W,111.8 люкс/Вт,111.8 լյուքս/Վտ
114 kWh/a,114 кВтч/год,114 կՎտժ/տարի
115 kWh/a,115 кВтч/год,115 կՎտժ/տարի
115 min,115 мин,115 րոպե
118.2 lux/W,118.2 люкс/Вт,118.2 լյուքս/Վտ
118.5 lux/W,118.5 люкс/Вт,118.5 լյուքս/Վտ
118.6 lux/W,118.6 люкс/Вт,118.6 լյուքս/Վտ
12 hours,12 часов,12 ժամ
12.0 litres,12.0 литров,12.0 լիտր
12.1 lux/W,12.1 люкс/Вт,12.1 լյուքս/Վտ
120 min,120 мин,120 րոպե
1200 giri/min,1200 об/мин,1200 պտույտ/րոպե
121 kWh/a,121 кВтч/год,121 կՎտժ/տարի
121 lux,121 люкс,121 լյուքս
125 min,125 мин,125 րոպե
127 kWh/a,127 кВтч/год,127 կՎտժ/տարի
128.6 lux/W,128.6 люкс/Вт,128.6 լյուքս/Վտ
13 lux/W,13 люкс/Вт,13 լյուքս/Վտ
130 lux,130 люкс,130 լյուքս
130 min,130 мин,130 րոպե
133 lux,133 люкс,133 լյուքս
135 kWh/a,135 кВтч/год,135 կՎտժ/տարի
137 kWh/a,137 кВтч/год,137 կՎտժ/տարի
139 lux,139 люкс,139 լյուքս
140 kWh/a,140 кВтч/год,140 կՎտժ/տարի
1400 giri/min,1400 об/мин,1400 պտույտ/րոպե
142 lux,142 люкс,142 լյուքս
143 lux,143 люкс,143 լյուքս
145 kWh/a,145 кВтч/год,145 կՎտժ/տարի
145 lux,145 люкс,145 լյուքս
146 kWh/a,146 кВтч/год,146 կՎտժ/տարի
146 lux,146 люкс,146 լյուքս
14850 giri/min,14850 об/мин,14850 պտույտ/րոպե
15 bar,15 бар,15 բար
15 min,15 мин,15 րոպե
150 lux,150 люкс,150 լյուքս
153 lux,153 люкс,153 լյուքս
156 lux,156 люкс,156 լյուքս
157 lux,157 люкс,157 լյուքս
158 kWh/a,158 кВтч/год,158 կՎտժ/տարի
158 lux,158 люкс,158 լյուքս
16 lux/W,16 люкс/Вт,16 լյուքս/Վտ
16.1 lux/W,16.1 люкс/Вт,16.1 լյուքս/Վտ
160 kWh/a,160 кВтч/год,160 կՎտժ/տարի
164 lux,164 люкс,164 լյուքս
166 lux,166 люкс,166 լյուքս
168 kWh/a,168 кВтч/год,168 կՎտժ/տարի
169 lux,169 люкс,169 լյուքս
17 lux/W,17 люкс/Вт,17 լյուքս/Վտ
170 lux,170 люкс,170 լյուքս
172 lux,172 люкс,172 լյուքս
173 kWh/a,173 кВтч/год,173 կՎտժ/տարի
174 min,174 мин,174 րոպե
175 lux,175 люкс,175 լյուքս
176 kWh/a,176 кВтч/год,176 կՎտժ/տարի
177 kWh/a,177 кВтч/год,177 կՎտժ/տարի
178 kWh/a,178 кВтч/год,178 կՎտժ/տարի
178 lux,178 люкс,178 լյուքս
181 lux,181 люкс,181 լյուքս
183 lux,183 люкс,183 լյուքս
184 lux,184 люкс,184 լյուքս
186 kWh/a,186 кВтч/год,186 կՎտժ/տարի
189 kWh/a,189 кВтч/год,189 կՎտժ/տարի
189 min,189 мин,189 րոպե
190 min,190 мин,190 րոպե
193 lux,193 люкс,193 լյուքս
194 kWh/a,194 кВтч/год,194 կՎտժ/տարի
195 lux,195 люкс,195 լյուքս
195 min,195 мин,195 րոպե
196 lux,196 люкс,196 լյուքս
198 x 310 (325 with ball lever included) x 195 mm,198 x 310 (325 с шариковым рычагом) x 195 мм,198 x 310 (325 գնդաձև լծակով) x 195 մմ
"2 - Refrigerator-cellar, Cellar and Wine storage appliances","2 - Холодильник-погреб, Погреб и приборы для хранения вина","2 - Սառնարան-մառան, Մառան և գինու պահեստավորման սարքեր"
2 Doors & 2 Drawers,2 двери и 2 ящика,2 դուռ և 2 դարակ
2 Front,2 спереди,2 առջևի
2 Front + 2 Rear,2 спереди + 2 сзади,2 առջևի + 2 հետևի
2 Tapholes,2 отверстия под кран,2 ծորակի անցք
2 levels (Light or Intense),2 уровня (лёгкий или интенсивный),2 մակարդակ (թեթև կամ ինտենսիվ)
2 min,2 мин,2 րոպե
2 sets,2 комплекта,2 հավաքածու
"2 sliders, Egg tray","2 ползунка, лоток для яиц","2 սահիչ, ձվի տարա"
"2,3 lt / 10 cups","2,3 л / 10 чашек","2,3 լ / 10 բաժակ"
"2,6 kg (max. 1 kg flour)","2,6 кг (макс. 1 кг муки)","2,6 կգ (առավելագույնը 1 կգ ալյուր)"
"2,8 kg (max. 1 kg flour)","2,8 кг (макс. 1 кг муки)","2,8 կգ (առավելագույնը 1 կգ ալյուր)"
2-Piece sandwich racks,Решётки для бутербродов из 2 частей,2-մասանոց սենդվիչի դարակներ
2.1 kg total dough (max. 1.3 kg flour/ min. 55% hydration),2.1 кг общего теста (макс. 1.3 кг муки/ мин. 55% гидратация),2.1 կգ ընդհանուր խմոր (առավելագույնը 1.3 կգ ալյուր/ նվազագույնը 55% խոնավություն)
20 min,20 мин,20 րոպե
20.0 lux/W,20.0 люкс/Вт,20.0 լյուքս/Վտ
20.1 lux/W,20.1 люкс/Вт,20.1 լյուքս/Վտ
20.3 lux/W,20.3 люкс/Вт,20.3 լյուքս/Վտ
200 lux,200 люкс,200 լյուքս
200 x 300 (320 with ball lever incl.) x 330 mm,200 x 300 (320 с шариковым рычагом) x 330 мм,200 x 300 (320 գնդաձև լծակով) x 330 մմ
20000 giri/min,20000 об/мин,20000 պտույտ/րոպե
208 kWh/a,208 кВтч/год,208 կՎտժ/տարի
209 lux,209 люкс,209 լյուքս
209 min,209 мин,209 րոպե
21.1 lux/W,21.1 люкс/Вт,21.1 լյուքս/Վտ
215 min,215 мин,215 րոպե
215 x 394 (410 with ball lever included) x 208 mm,215 x 394 (410 с шариковым рычагом) x 208 мм,215 x 394 (410 գնդաձև լծակով) x 208 մմ
220 min,220 мин,220 րոպե
22000 giri/min,22000 об/мин,22000 պտույտ/րոպե
221 lux,221 люкс,221 լյուքս
225 lux,225 люкс,225 լյուքս
229 min,229 мин,229 րոպե
23.5 lux/W,23.5 люкс/Вт,23.5 լյուքս/Վտ
230 kWh/a,230 кВтч/год,230 կՎտժ/տարի
233 kWh/a,233 кВтч/год,233 կՎտժ/տարի
236 kWh/a,236 кВтч/год,236 կՎտժ/տարի
237 lux,237 люкс,237 լյուքս
24 hours,24 часа,24 ժամ
24 months,24 месяца,24 ամիս
244 kWh/a,244 кВтч/год,244 կՎտժ/տարի
245 lux,245 люкс,245 լյուքս
246 kWh/a,246 кВтч/год,246 կՎտժ/տարի
246 lux,246 люкс,246 լյուքս
249 kWh/a,249 кВтч/год,249 կՎտժ/տարի
25.9 lux/W,25.9 люкс/Вт,25.9 լյուքս/Վտ
250 kWh/a,250 кВтч/год,250 կՎտժ/տարի
255 kWh/a,255 кВтч/год,255 կՎտժ/տարի
26.6 lux/W,26.6 люкс/Вт,26.6 լյուքս/Վտ
260 lux,260 люкс,260 լյուքս
261 lux,261 люкс,261 լյուքս
263 lux,263 люкс,263 լյուքս
264 kWh,264 кВтч,264 կՎտժ
265 kWh/a,265 кВтч/год,265 կՎտժ/տարի
266 kWh,266 кВтч,266 կՎտժ
277 kWh/a,277 кВтч/год,277 կՎտժ/տարի
279 kWh,279 кВтч,279 կՎտժ
28.2 lux/W,28.2 люкс/Вт,28.2 լյուքս/Վտ
283 lux,283 люкс,283 լյուքս
287 kWh/a,287 кВтч/год,287 կՎտժ/տարի
29 kWh/a,29 кВтч/год,29 կՎտժ/տարի
29 lux/W,29 люкс/Вт,29 լյուքս/Վտ
296 kWh/a,296 кВтч/год,296 կՎտժ/տարի
298 lux,298 люкс,298 լյուքս
2:50 h:min,2:50 ч:мин,2:50 ժ:րոպե
3 + manual,3 + ручная,3 + ձեռքով
3 Buttons + Trigger,3 кнопки + курок,3 կոճակ + ձգան
3 bar,3 бар,3 բար
3 hours,3 часа,3 ժամ
3 min,3 мин,3 րոպե
"3, Flexi","3, Flexi","3, Flexi"
"3, FlexiDuo","3, FlexiDuo","3, FlexiDuo"
"3, FlexiDuo with Easy Glide","3, FlexiDuo с Easy Glide","3, FlexiDuo Easy Glide-ով"
3-6-9 hours,3-6-9 часов,3-6-9 ժամ
"3.5"" Steel cover","Крышка из стали 3.5""","3.5"" պողպատե ծածկ"
300 lux,300 люкс,300 լյուքս
302 kWh/a,302 кВтч/год,302 կՎտժ/տարի
302 lux,302 люкс,302 լյուքս
303 lux,303 люкс,303 լյուքս
304 lux,304 люкс,304 լյուքս
305 kWh/a,305 кВтч/год,305 կՎտժ/տարի
306 kWh,306 кВтч,306 կՎտժ
31.1 lux/W,31.1 люкс/Вт,31.1 լյուքս/Վտ
31.7 lux/W,31.7 люкс/Вт,31.7 լյուքս/Վտ
312 lux,312 люкс,312 լյուքս
315 lux,315 люкс,315 լյուքս
326 kWh/a,326 кВтч/год,326 կՎտժ/տարի
329 lux,329 люкс,329 լյուքս
33 lux/W,33 люкс/Вт,33 լյուքս/Վտ
330 g (jug) 85 g (lid),330 г (кувшин) 85 г (крышка),330 գ (սափոր) 85 գ (կափարիչ)
338 kWh/a,338 кВтч/год,338 կՎտժ/տարի
34.8 lux/W,34.8 люкс/Вт,34.8 լյուքս/Վտ
348 lux,348 люкс,348 լյուքս
35.5 lux/W,35.5 люкс/Вт,35.5 լյուքս/Վտ
36 dBA,36 дБА,36 դԲԱ
36 hours,36 часов,36 ժամ
36 kWh/a,36 кВтч/год,36 կՎտժ/տարի
361 lux,361 люкс,361 լյուքս
37 dBA,37 дБА,37 դԲԱ
37 kWh/a,37 кВтч/год,37 կՎտժ/տարի
37.0 lux/W,37.0 люкс/Вт,37.0 լյուքս/Վտ
370 lux,370 люкс,370 լյուքս
378 (490 with head up) x 402 x 221 mm,378 (490 с поднятой головкой) x 402 x 221 мм,378 (490 բարձրացված գլխով) x 402 x 221 մմ
38.0 lux/W,38.0 люкс/Вт,38.0 լյուքս/Վտ
381 lux,381 люкс,381 լյուքս
39 dBA,39 дБА,39 դԲԱ
39 kWh/a,39 кВтч/год,39 կՎտժ/տարի
39.3 lux/W,39.3 люкс/Вт,39.3 լյուքս/Վտ
390 lux,390 люкс,390 լյուքս
3:38 h:min,3:38 ч:мин,3:38 ժ:րոպե
3:48 h:min,3:48 ч:мин,3:48 ժ:րոպե
3:58 h:min,3:58 ч:мин,3:58 ժ:րոպե
4 Doors,4 двери,4 դուռ
"4 accessories set, Black version, Beaker, Chopper, Whisk, Masher","Набор из 4 аксессуаров, черная версия, мензурка, измельчитель, венчик, толкушка","4 աքսեսուարների հավաքածու, սև տարբերակ, բաժակ, կտրիչ, հարիչ, ճզմիչ"
"4 accessories set, Cream version, Beaker, Chopper, Whisk, Masher","Набор из 4 аксессуаров, кремовая версия, мензурка, измельчитель, венчик, толкушка","4 աքսեսուարների հավաքածու, կրեմի տարբերակ, բաժակ, կտրիչ, հարիչ, ճզմիչ"
"4 accessories set, Pastel blue version, Beaker, Chopper, Whisk, Masher","Набор из 4 аксессуаров, пастельно-голубая версия, мензурка, измельчитель, венчик, толкушка","4 աքսեսուարների հավաքածու, բաց կապույտ տարբերակ, բաժակ, կտրիչ, հարիչ, ճզմիչ"
"4 accessories set, Red version, Beaker, Chopper, Whisk, Masher","Набор из 4 аксессуаров, красная версия, мензурка, измельчитель, венчик, толкушка","4 աքսեսուարների հավաքածու, կարմիր տարբերակ, բաժակ, կտրիչ, հարիչ, ճզմիչ"
40 dBA,40 дБА,40 դԲԱ
40 kWh/a,40 кВтч/год,40 կՎտժ/տարի
40 min,40 мин,40 րոպե
40 sec,40 сек,40 վրկ
406 kWh/a,406 кВтч/год,406 կՎտժ/տարի
41 kWh/a,41 кВтч/год,41 կՎտժ/տարի
42 dBA,42 дБА,42 դԲԱ
42 kWh/a,42 кВтч/год,42 կՎտժ/տարի
42.6 lux/W,42.6 люкс/Вт,42.6 լյուքս/Վտ
43 dBA,43 дБА,43 դԲԱ
43 kWh/a,43 кВтч/год,43 կՎտժ/տարի
44 dBA,44 дБА,44 դԲԱ
44 kWh/a,44 кВтч/год,44 կՎտժ/տարի
44 litre,44 литра,44 լիտր
44 litres,44 литра,44 լիտր
44.1 lux/W,44.1 люкс/Вт,44.1 լյուքս/Վտ
45 dBA,45 дБА,45 դԲԱ
45 kWh/a,45 кВтч/год,45 կՎտժ/տարի
45 sec,45 сек,45 վրկ
46 dBA,46 дБА,46 դԲԱ
46 kWh/a,46 кВтч/год,46 կՎտժ/տարի
46 litre,46 литров,46 լիտր
47 dBA,47 дБА,47 դԲԱ
47 kWh,47 кВтч,47 կՎտժ
47 kWh/a,47 кВтч/год,47 կՎտժ/տարի
47 litres,47 литров,47 լիտր
"478 g (with lid, blades, anti-slip base)","478 г (с крышкой, лезвиями, противоскользящим основанием)","478 գ (կափարիչով, շեղբերով, հակասայթաքման հիմքով)"
48 dBA,48 дБА,48 դԲԱ
48 kWh/a,48 кВтч/год,48 կՎտժ/տարի
49 dBA,49 дБА,49 դԲԱ
49 kWh/a,49 кВтч/год,49 կՎտժ/տարի
4:00 h:min,4:00 ч:мин,4:00 ժ:րոպե
4:10 h:min,4:10 ч:мин,4:10 ժ:րոպե
4:25 h:min,4:25 ч:мин,4:25 ժ:րոպե
4:35 h:min,4:35 ч:мин,4:35 ժ:րոպե
4:40 h:min,4:40 ч:мин,4:40 ժ:րոպե
5 bar,5 бар,5 բար
50 dBA,50 дБА,50 դԲԱ
50 kWh/a,50 кВтч/год,50 կՎտժ/տարի
50's Style,Стиль 50-х,50-ականների ոճ
50's style,Стиль 50-х,50-ականների ոճ
50's style door panel,Дверная панель в стиле 50-х,50-ականների ոճի դռան վահանակ
51 dBA,51 дБА,51 դԲԱ
51 kWh,51 кВтч,51 կՎտժ
51 litres,51 литр,51 լիտր
52 dBA,52 дБА,52 դԲԱ
52 kWh/a,52 кВтч/год,52 կՎտժ/տարի
52 litre,52 литра,52 լիտր
52 lux/W,52 люкс/Вт,52 լյուքս/Վտ
53 dBA,53 дБА,53 դԲԱ
53 kWh,53 кВтч,53 կՎտժ
53 kWh/a,53 кВтч/год,53 կՎտժ/տարի
54 dBA,54 дБА,54 դԲԱ
54 kWh,54 кВтч,54 կՎտժ
54 kWh/a,54 кВтч/год,54 կՎտժ/տարի
55 dBA,55 дБА,55 դԲԱ
55 kWh/a,55 кВтч/год,55 կՎտժ/տարի
56 kWh/a,56 кВтч/год,56 կՎտժ/տարի
57 dBA,57 дБА,57 դԲԱ
57 kWh/a,57 кВтч/год,57 կՎտժ/տարի
58 dBA,58 дБА,58 դԲԱ
58 kWh/a,58 кВтч/год,58 կՎտժ/տարի
58.8 lux/W,58.8 люкс/Вт,58.8 լյուքս/Վտ
59 dBA,59 дБА,59 դԲԱ
59 kWh/a,59 кВтч/год,59 կՎտժ/տարի
59 lux/W,59 люкс/Вт,59 լյուքս/Վտ
59.8 lux/W,59.8 люкс/Вт,59.8 լյուքս/Վտ
5:30 h:min,5:30 ч:мин,5:30 ժ:րոպե
60 dBA,60 дБА,60 դԲԱ
60 kWh/a,60 кВтч/год,60 կՎտժ/տարի
60.0 lux/W,60.0 люкс/Вт,60.0 լյուքս/Վտ
60.8 lux/W,60.8 люкс/Вт,60.8 լյուքս/Վտ
600 ml / 2.5 cup,600 мл / 2.5 чашки,600 մլ / 2.5 բաժակ
61 dBA,61 дБА,61 դԲԱ
62 dBA,62 дБА,62 դԲԱ
62 kWh/a,62 кВтч/год,62 կՎտժ/տարի
63 dBA,63 дБА,63 դԲԱ
63 kWh,63 кВтч,63 կՎտժ
63 kWh/a,63 кВтч/год,63 կՎտժ/տարի
63 litre,63 литра,63 լիտր
64 dBA,64 дБА,64 դԲԱ
64 kWh,64 кВтч,64 կՎտժ
64 kWh/a,64 кВтч/год,64 կՎտժ/տարի
65 dBA,65 дБА,65 դԲԱ
65 litre,65 литров,65 լիտր
65.0 lux/W,65.0 люкс/Вт,65.0 լյուքս/Վտ
66 dBA,66 дБА,66 դԲԱ
66 kWh/a,66 кВтч/год,66 կՎտժ/տարի
67 dBA,67 дБА,67 դԲԱ
67 kWh,67 кВтч,67 կՎտժ
68 dBA,68 дБА,68 դԲԱ
68 kWh,68 кВтч,68 կՎտժ
68 litre,68 литров,68 լիտր
68 lux/W,68 люкс/Вт,68 լյուքս/Վտ
68.2 lux/W,68.2 люкс/Вт,68.2 լյուքս/Վտ
68.5 lux/W,68.5 люкс/Вт,68.5 լյուքս/Վտ
68.6 lux/W,68.6 люкс/Вт,68.6 լյուքս/Վտ
69 dBA,69 дБА,69 դԲԱ
7 - Refrigerator-freezer,7 - Холодильник-морозильник,7 - Սառնարան-սառցախցիկ
7 digits LED,7-сегментный LED-дисплей,7 նիշ LED
7 segments,7 сегментов,7 սեգմենտ
70 dBA,70 дБА,70 դԲԱ
70 kWh,70 кВтч,70 կՎտժ
70 kWh/a,70 кВтч/год,70 կՎտժ/տարի
70 lux,70 люкс,70 լյուքս
70.4 lux/W,70.4 люкс/Вт,70.4 լյուքս/Վտ
70.9 lux/W,70.9 люкс/Вт,70.9 լյուքս/Վտ
71 dBA,71 дБА,71 դԲԱ
71 kWh/a,71 кВтч/год,71 կՎտժ/տարի
72 dBA,72 дБА,72 դԲԱ
72 kWh/a,72 кВтч/год,72 կՎտժ/տարի
73 dBA,73 дБА,73 դԲԱ
73 kWh,73 кВтч,73 կՎտժ
73 lux,73 люкс,73 լյուքս
74 lux/W,74 люкс/Вт,74 լյուքս/Վտ
74.2 lux/W,74.2 люкс/Вт,74.2 լյուքս/Վտ
74.3 lux/W,74.3 люкс/Вт,74.3 լյուքս/Վտ
74.8 lux/W,74.8 люкс/Вт,74.8 լյուքս/Վտ
75 kWh,75 кВтч,75 կՎտժ
75 kWh/a,75 кВтч/год,75 կՎտժ/տարի
75.0 lux/W,75.0 люкс/Вт,75.0 լյուքս/Վտ
75.5 lux/W,75.5 люкс/Вт,75.5 լյուքս/Վտ
76.1 lux/W,76.1 люкс/Вт,76.1 լյուքս/Վտ
76.8 lux/W,76.8 люкс/Вт,76.8 լյուքս/Վտ
77 kWh,77 кВтч,77 կՎտժ
77 kWh/a,77 кВтч/год,77 կՎտժ/տարի
77.0 lux/W,77.0 люкс/Вт,77.0 լյուքս/Վտ
78 kWh,78 кВтч,78 կՎտժ
78 kWh/a,78 кВтч/год,78 կՎտժ/տարի
78 lux,78 люкс,78 լյուքս
78.2 lux/W,78.2 люкс/Вт,78.2 լյուքս/Վտ
78.5 lux/W,78.5 люкс/Вт,78.5 լյուքս/Վտ
79 kWh/a,79 кВтч/год,79 կՎտժ/տարի
8.5 litres,8.5 литров,8.5 լիտր
800 g total batter (max. 500 g flour/ min. 55% hydration),800 г общего теста (макс. 500 г муки/ мин. 55% гидратация),800 գ ընդհանուր խմոր (առավելագույնը 500 գ ալյուր/ նվազագույնը 55% խոնավություն)
8150 giri/min,8150 об/мин,8150 պտույտ/րոպե
82 kWh/a,82 кВтч/год,82 կՎտժ/տարի
83.2 lux/W,83.2 люкс/Вт,83.2 լյուքս/Վտ
83.6 lux/W,83.6 люкс/Вт,83.6 լյուքս/Վտ
84 kWh,84 кВтч,84 կՎտժ
84.1 lux/W,84.1 люкс/Вт,84.1 լյուքս/Վտ
85 kWh,85 кВтч,85 կՎտժ
88.6 lux/W,88.6 люкс/Вт,88.6 լյուքս/Վտ
8:30 h:min,8:30 ч:мин,8:30 ժ:րոպե
9 lux/W,9 люкс/Вт,9 լյուքս/Վտ
9.0 litres,9.0 литров,9.0 լիտր
9.9 litres,9.9 литров,9.9 լիտր
90 lux,90 люкс,90 լյուքս
90.9 lux/W,90.9 люкс/Вт,90.9 լյուքս/Վտ
91 kWh/a,91 кВтч/год,91 կՎտժ/տարի
91 lux/W,91 люкс/Вт,91 լյուքս/Վտ
917 Salzburg Red,917 Зальцбург красный,917 Զալցբուրգ կարմիր
93 kWh/a,93 кВтч/год,93 կՎտժ/տարի
94 kWh,94 кВтч,94 կՎտժ
94 kWh/a,94 кВтч/год,94 կՎտժ/տարի
97 lux,97 люкс,97 լյուքս
98 kWh/a,98 кВтч/год,98 կՎտժ/տարի
9:30 h:min,9:30 ч:мин,9:30 ժ:րոպե
ABS Plastic,Пластик ABS,ABS պլաստիկ
AISI304,AISI304,AISI304
Acacia wood,Древесина акации,Ակացիայի փայտ
Accessories,Аксессуары,Աքսեսուարներ
"Accumulator, Ice cube tray","Аккумулятор, лоток для льда","Մարտկոց, սառույցի սկուտեղ"
Acoustic,Акустический,Ակուստիկ
Acoustic and visual,Акустический и визуальный,Ձայնային և տեսողական
Acoustic signal,Звуковой сигнал,Ձայնային ազդանշան
Activated carbon,Активированный уголь,Ակտիվացված ածխածին
Activated charcoal filter,Фильтр с активированным углем,Ակտիվացված ածխածնի ֆիլտր
ActiveLight,ActiveLight,ActiveLight
Adaptor,Адаптер,Ադապտեր
Additional container for ice cream maker accessory SMIC01,Дополнительный контейнер для аксессуара SMIC01 для мороженицы,Լրացուցիչ տարա SMIC01 պաղպաղակի արտադրիչի աքսեսուարի համար
Adhesive,Клей,Սոսինձ
Advanced full touch,Расширенное полное сенсорное управление,Ընդլայնված ամբողջական սենսորային
Advanced full touch & knobs,Расширенное полное сенсорное управление и ручки,Ընդլայնված ամբողջական սենսորային և կոճակներ
Alba,Alba,Alba
Alkaline-Manganese Dioxide (Zn/MnO2 ),Щелочно-марганцевый (Zn/MnO2),Ալկալային-մանգանային (Zn/MnO2)
All black special edition,Специальное издание полностью чёрное,Ամբողջովին սև հատուկ թողարկում
Alluminio,Алюминий,Ալյումին
Alluminio pressofuso,Литой алюминий,Ձուլածո ալյումին
Alluminium,Алюминий,Ալյումին
Altro,Другое,Այլ
Aluminium,Алюминий,Ալյումին
